,condition_concept_id,chi2,p_value
52,320128,973.8031945999664,8.88347098632173e-214
240,4193704,316.77643607098594,7.295821667225248e-71
312,4209423,285.0831423398764,5.8603861022806885e-64
1,4192174,266.9779486671699,5.170894421803212e-60
16,432867,245.17601069996664,2.925183763940766e-55
184,381270,221.4164671227553,4.440382651852038e-50
64,438720,165.46919054470845,7.224656397921639e-38
471,0,163.3257634134015,2.1235097823505232e-37
82,260123,128.14793775305355,1.0418083353093873e-29
352,433736,126.32820920149956,2.606126544230962e-29
178,260139,111.14059361075593,5.511972729174653e-26
379,257011,103.85500282826173,2.1767746584113416e-24
939,4092743,93.9304602549911,3.268059992394945e-22
238,201826,92.85478734798271,5.627553067767568e-22
142,254761,91.70317817131414,1.0070302722174342e-21
119,37016349,84.31753934171118,4.2136051178821235e-20
952,436665,83.24782824455909,7.238500403158147e-20
488,25297,78.4554406223948,8.182324724128319e-19
319,4268911,77.97038188829278,1.0459722371349741e-18
193,141323,76.92012506863871,1.780138559120294e-18
394,434005,74.28676738328778,6.755482390427972e-18
247,79908,71.14320063996313,3.322156491046472e-17
643,437113,68.51313074801871,1.2603558348826542e-16
165,255573,67.4730283461733,2.1358912300941696e-16
32,436070,64.1819026209805,1.134460473480591e-15
486,443782,64.1308781060795,1.1642249320219248e-15
162,46273463,63.1132285564754,1.9515900713393306e-15
717,36714126,61.424005616736366,4.6016567270093255e-15
529,4077577,58.08427930744661,2.511251401476416e-14
524,4308509,56.387062424435605,5.952071595312585e-14
270,4282096,56.065264551463954,7.010479820752956e-14
320,380378,55.764546171096754,8.16915808907826e-14
284,436222,53.67180716805818,2.369390586975639e-13
599,4164898,53.316785081255574,2.8387060245358786e-13
159,4111231,51.786112233767696,6.188801212379759e-13
1189,374919,50.92855233656474,9.578999360248025e-13
883,4254485,50.54437591579768,1.1650056298459954e-12
67,437827,50.41983138179646,1.2413346211152896e-12
180,313217,50.12645770788644,1.4415022241005955e-12
1151,441259,49.33258043181429,2.1604439522573172e-12
1257,4101747,49.09133864786304,2.443166407571301e-12
339,372629,48.90098950530675,2.6921489515216995e-12
1170,443454,47.76923044178668,4.794581453229446e-12
1476,4059015,47.160893043279216,6.5392218141690626e-12
253,4144111,46.96938552974105,7.2104253632768605e-12
258,37018196,46.79404595797302,7.885261343851475e-12
317,4141360,44.862737453377434,2.1134161569380876e-11
2483,374009,44.233604969528045,2.9143503856990304e-11
236,257007,43.789241447572415,3.6570984031184924e-11
1256,377091,43.75053804738357,3.7301395798723086e-11
1458,193782,43.1392452806158,5.0979350707291466e-11
183,138825,42.882645881405686,5.8123988224542905e-11
124,435220,42.16040322024746,8.40854409186603e-11
