condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
320128,,4222.327721941013,0,0,,,
80502,,1805.9931003100596,0,0,,,
140648,,6094.513976869748,0,0,,,
77670,,1503.2947416225506,0,0,,,
433316,,3722.3156839247004,0,0,,,
443597,,2298.9560513041315,0,0,,,
194133,,1605.3783306869595,0,0,,,
4282096,,4443.520913563735,0,0,,,
313217,,2907.056950236274,0,0,,,
372629,,3208.867122642345,0,0,,,
200843,,1439.6808815455358,0,0,,,
75860,,3917.090550597016,0,0,,,
319835,,1916.3391238138483,0,0,,,
44782429,,1445.239375729923,0,0,,,
376966,,1518.3763095146764,0,0,,,
79908,,4029.878684477433,0,0,,,
764123,,3087.170652905368,0,0,,,
319041,,1564.6035614050443,0,0,,,
436222,,3656.9593313324094,0,0,,,
4067069,,1687.5661455636396,0,0,,,
374009,,2212.5771464868435,0,0,,,
4268911,,3824.5061276251654,0,0,,,
372448,,2596.2131485976493,0,0,,,
4254485,,3844.4675882921724,0,0,,,
197320,,1505.194003713697,0,0,,,
4059015,,4082.0653995497173,0,0,,,
197672,,1856.4458250525106,0,0,,,
4171917,,2216.0620701731877,0,0,,,
433595,,1493.7930383245953,0,0,,,
4092743,,4902.199942034297,0,0,,,
373503,,2065.545271105603,0,0,,,
443454,,2942.881483197115,0,0,,,
437113,,5264.3814220831555,0,0,,,
375415,,2004.3364839605167,0,0,,,
372887,,1670.7932067439592,0,0,,,
4154290,,1797.3826077884107,0,0,,,
435796,,1845.0789361637333,0,0,,,
193326,,1825.4531981781747,0,0,,,
4141360,,2010.4153805626559,0,0,,,
36714126,,3207.167498172066,0,0,,,
381270,,6165.048105677678,0,0,,,
374375,,1497.9891556272596,0,0,,,
81902,,3394.7352786353313,0,0,,,
4111231,,3432.529681179531,0,0,,,
321052,,2692.1637830615637,0,0,,,
4174262,,1498.2882430665334,0,0,,,
439777,,2859.4348304993628,0,0,,,
312437,,2309.504657,0,0,,,
442077,,2611.800815521848,0,0,,,
4144111,,1511.7630940134604,0,0,,,
432867,,1690.9906297487698,0,0,,,
316139,,1989.5649581536668,0,0,,,
80180,,2242.7330782539893,0,0,,,
140673,,1784.0868552150764,0,0,,,
37110250,,1528.7990130601165,0,0,,,
4223659,,2438.781863144731,0,0,,,
37206607,Overactive bladder,1420.4048297186023,7.734619715933e-311,1.410143299789057e-308,,,
4272240,Malaise,1407.451841830265,5.048135948953013e-308,9.044867031296501e-306,,,
433577,Hammer toe,1377.7671860742075,1.4246046810038e-301,2.509235905930761e-299,,,
436096,Chronic pain,1367.3811750567766,2.574119701815064e-299,4.4583753235436906e-297,,,
139099,Ingrowing nail,1345.615413575801,1.3819202935906849e-294,2.3542484739335075e-292,,,
136788,Spinal stenosis of lumbar region,1312.1673872816746,2.5649994723281435e-287,4.2992700832958174e-285,,,
255573,Chronic obstructive lung disease,1309.5530814407266,9.488749654355079e-287,1.565191847746952e-284,,,
40479576,Chronic diastolic heart failure,1307.9921613905697,2.072130290609811e-286,3.364621559377681e-284,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8869585/
