,condition_concept_id,chi2,p_value,p_adj
3,138825,778.757658507247,2.241847591148788e-171,1.904897898199125e-167
276,4282096,665.6060806927437,9.018979317674028e-147,3.831713363113811e-143
159,141932,591.0116298174318,1.5096126040833435e-130,4.27572609896539e-127
142,4223659,561.8855270478241,3.269299403721049e-124,6.944809258354438e-121
123,442077,521.3027624478373,2.2034811810153104e-115,3.7445959190174188e-112
13,432867,502.3076432574942,2.9914103283322513e-111,4.2363355933065235e-108
199,140648,497.8500186723797,2.7910321099111e-110,3.387914262559231e-107
241,135777,475.6729313457237,1.867725052113536e-105,1.983757470976089e-102
84,764123,448.35951191146444,1.641090812342804e-99,1.5493720702752008e-96
152,437113,441.6847686074485,4.653473154363304e-98,3.9540561392625e-95
328,381270,433.15055451166256,3.3510111768811126e-96,2.5885038154508015e-93
134,313217,430.25521258104976,1.4300166201079063e-95,1.0125709350880733e-92
253,79908,428.947347068328,2.7542192374925947e-95,1.8002000662288138e-92
183,442588,423.6037091712759,4.009260032832355e-94,2.4333344642126086e-91
367,433316,402.893595719362,1.2913407077253707e-89,7.31501466236165e-87
44,194133,401.85648581595075,2.1717175393957042e-89,1.1533177457653312e-86
258,4144111,391.85659660210143,3.2635957839542833e-87,1.6312219633093852e-84
106,374375,364.13205045050194,3.546956860625846e-81,1.629308662909934e-78
252,75860,364.0786132236818,3.6432699300092676e-81,1.629308662909934e-78
284,4111231,359.40289812230594,3.798406769928579e-80,1.613753116204157e-77
94,312437,354.9598767776014,3.5243378574857313e-79,1.4260142273836316e-76
12,320128,352.375981431917,1.2874812589922265e-78,4.9726037534804316e-76
129,36714126,345.54749226331364,3.9514251684943526e-77,1.4597938981172398e-74
347,372629,339.43947214282997,8.451696379161063e-76,2.992252672238815e-73
652,4154290,330.3566864221248,8.037124658763919e-74,2.7316579290206808e-71
368,140673,312.04247101817316,7.839543317392844e-70,2.562023060303346e-67
10,81902,302.9974536617927,7.323822412093389e-68,2.3048340383539824e-65
64,439777,302.0497036645457,1.1781889888586183e-67,3.5753827994041713e-65
32,436962,300.99188273316463,2.0029711785290822e-67,5.868705553090211e-65
109,77670,300.31029070545145,2.8194837204216997e-67,7.985717724141061e-65
118,434613,296.30724046264237,2.100466041244082e-66,5.757309662080956e-64
124,4077577,293.2170640686579,9.89920374587612e-66,2.6285479446471684e-63
987,4092743,292.3429025484394,1.5348502643847375e-65,3.9520068777203376e-63
160,80502,286.5998697747737,2.7379704130535225e-64,6.842510176386995e-62
268,436096,270.1353017264989,1.0602807050928953e-60,2.5740586146212377e-58
382,4171917,266.2215442165508,7.558373854116958e-60,1.7839861844008832e-57
513,372448,265.71434645205244,9.749357703339962e-60,2.238926821764315e-57
210,439297,263.0047428002392,3.7981153010329413e-59,8.350786159371243e-57
157,378427,262.98658311804525,3.832889963698699e-59,8.350786159371243e-57
693,4174262,261.2342698682055,9.235856765608416e-59,1.9619268734343679e-56
89,40483107,258.7672622831756,3.185854485536066e-58,6.602489161853648e-56
22,762294,255.17766807894765,1.9306634905557917e-57,3.905916114107753e-55
191,196523,254.26561383584823,3.051603993868824e-57,6.0301114269542785e-55
575,443211,252.58814814512118,7.082905160285342e-57,1.367805571521467e-54
325,4141360,248.35243686948493,5.937832734118405e-56,1.1211947720400909e-53
117,200843,247.82719407010924,7.72928077113358e-56,1.427732580702653e-53
53,437827,243.80116348050717,5.833225211272734e-55,1.0545726514932855e-52
4,378253,239.15604949340897,6.007941955464116e-54,1.063530891574554e-51
26,31317,236.7450632645349,2.0157972062270624e-53,3.495556910471704e-51
226,320420,233.20671446731944,1.1913303326511133e-52,2.0245467673073019e-50
141,313459,231.65060107921425,2.6024325901702456e-52,4.335856807583643e-50
998,436665,228.2827559010209,1.4120525644586637e-51,2.307348200039474e-49
88,4172432,228.06761003028805,1.5731574351823074e-51,2.5220978729705783e-49
1099,443454,227.04574250298597,2.6280561375733092e-51,4.135295000177853e-49
570,136788,224.41776040921246,9.835577148847188e-51,1.5195072551591737e-48
56,78232,224.1517532500293,1.12413343427008e-50,1.705671748391584e-48
63,435796,222.7988795160644,2.217653664655565e-50,3.3058602085225144e-48
