,condition_concept_id,n_people
0,4182210,252249
1,320128,217635
2,432867,156098
3,81902,116297
4,140648,108498
5,79908,107994
6,437113,105467
7,374888,104934
8,4144111,92528
9,439777,91700
10,442077,86142
11,764123,86096
12,4282096,83135
13,312437,81409
14,197320,80228
15,436222,80079
16,43530666,78483
17,4193704,77168
18,36714126,77054
19,378419,76776
20,254761,75402
21,140673,73032
22,80180,72891
23,75860,72209
24,194133,70934
25,313217,69966
26,4223659,68990
27,321052,66684
28,439147,66622
29,435796,66306
30,438720,64957
31,255848,64894
32,437827,64435
33,4171917,63727
34,4111231,63474
35,436070,62901
36,443597,61975
37,4268911,61528
38,316139,60763
39,77670,59780
40,319835,59494
41,433316,58023
42,4059015,57857
43,4092743,56466
44,201826,55680
45,255573,53991
46,374375,52811
47,132797,52527
48,372448,51362
49,4272240,51340
50,4170554,51251
51,31317,50756
52,437833,50717
53,436096,50548
54,4154290,50191
55,436962,50001
56,44782429,49515
57,372887,49048
58,372892,47833
59,196523,47450
60,80502,47100
61,46271022,46908
62,138825,46815
63,439297,45603
64,4220313,45295
65,46271075,44931
66,436230,44461
67,141932,44148
68,444101,43977
69,317002,42521
70,375415,42200
71,78232,41765
72,435515,41736
73,439795,41446
74,433595,41438
75,4079750,41231
76,762294,41091
77,443454,40932
78,438398,40114
79,378427,40006
80,200219,39898
81,4254485,39324
82,135777,39019
83,765131,38705
84,434613,38009
85,4141360,37399
86,372629,36789
87,200843,36680
88,194081,36064
89,257011,36054
90,436659,35831
91,437663,35628
92,139099,34776
93,4169095,34621
94,437390,34532
95,198803,34190
96,378253,33818
97,37109056,33817
98,320536,33387
99,37016349,33202
100,192450,32899
101,435517,32438
102,197672,32300
103,440530,32172
104,320420,31828
105,260139,31786
106,197684,31622
107,762297,31551
108,24134,31490
109,134736,31355
110,40479576,31232
111,443211,31026
112,37110250,30369
113,437246,30291
114,4067069,29927
115,27674,29405
116,434894,29061
117,433577,28709
118,373478,28640
119,37311061,28527
120,762289,28389
121,373995,28296
122,43531578,27638
123,140214,27539
124,439696,27084
125,4336254,26898
126,37396726,26568
127,31967,26515
128,438485,26358
129,4282316,26015
130,438567,25959
131,433736,25837
132,4228361,25724
133,442793,25631
134,45766714,25571
